"Gene"	"P-value"
"159"	"ACOX2"	0.424422510015593
"160"	"ACOX3"	0.175557867532677
"161"	"ACOXL"	0.398845045996206
"162"	"ACP1"	0.116512014942394
"163"	"ACP2"	0.393419861957292
"164"	"ACP5"	0.413966462362173
"165"	"ACP6"	0.311048839666825
"166"	"ACPL2"	0.12641960424763
"167"	"ACPP"	0.47921307833741
"168"	"ACR"	0.226386270504526
"169"	"ACRBP"	0.180936268632661
"170"	"ACRC"	0.436180392766318
"171"	"ACRV1"	0.0234872288058739
"172"	"ACSBG1"	0.214085957840043
"173"	"ACSBG2"	0.289927135397967
"174"	"ACSF2"	0.232217723718379
"175"	"ACSF3"	0.00624678228545905
"176"	"ACSL1"	0.0861408054853589
"177"	"ACSL3"	0.0778514977563733
"178"	"ACSL4"	0.0703431766913676
"179"	"ACSL5"	0.0842225868769164
"180"	"ACSL6"	0.000731329073937137
"181"	"ACSM1"	0.15754337505739
"182"	"ACSM2A"	0.195477215968999
"183"	"ACSM2B"	0.330131173601131
"184"	"ACSM3"	0.406971206727421
"185"	"ACSM5"	0.448347526931522
"186"	"ACSS1"	0.0706117275934767
"187"	"ACSS2"	0.466257086642526
"188"	"ACSS3"	0.00367591888074836
"189"	"ACTA1"	0.365784719476011
"190"	"ACTA2"	2.17876178787435e-06
"191"	"ACTB"	0.289709702630576
"192"	"ACTBL2"	0.0871227518347755
"193"	"ACTC1"	0.00312618668269693
"194"	"ACTG1"	0.3147656224393
"195"	"ACTG2"	2.03444822099996e-08
"196"	"ACTL6A"	0.0794401237590715
"197"	"ACTL8"	2.23653443025551e-05
"198"	"ACTN1"	0.00621012698338175
"199"	"ACTN2"	0.049847551066884
"200"	"ACTN3"	0.447202290330229
"201"	"ACTN4"	0.483639062430473
"202"	"ACTR10"	0.206326135887068
"203"	"ACTR1A"	0.0545176552103843
"204"	"ACTR1B"	0.351528628700577
"205"	"ACTR2"	0.131440206414155
"206"	"ACTR3"	0.0398716657462295
"207"	"ACTR3B"	0.405190853196063
"208"	"ACTR3C"	0.095086789984582
"209"	"ACTR5"	0.494321076321068
"210"	"ACTR6"	0.463701355508301
"211"	"ACTR8"	0.00415364753022263
"212"	"ACVR1"	0.0579466149210256
"213"	"ACVR1B"	0.372536051967993
"214"	"ACVR1C"	4.23615721183435e-05
"215"	"ACVR2A"	0.4155808105918
"216"	"ACVR2B"	0.12663679455026
"217"	"ACVRL1"	0.00139040730251938
"218"	"ACY1"	0.0603674863651589
"219"	"ACY3"	0.0961917928369405
"220"	"ACYP1"	0.0298773803811044
"221"	"ACYP2"	0.474666961469288
"222"	"ADA"	1.26588127757898e-08
"223"	"ADAD2"	0.361808435952955
"224"	"ADAL"	0.163453227379391
"225"	"ADAM10"	0.51059215683296
