"Gene"	"P-value"
"158"	"ACOT8"	0.317638049585172
"159"	"ACOT9"	0.285704650982082
"160"	"ACOX1"	3.54981840625657e-05
"161"	"ACOX2"	0.00127566261016865
"162"	"ACOX3"	0.580216898986789
"163"	"ACOXL"	0.109229090435546
"164"	"ACP1"	0.250476700144348
"165"	"ACP2"	0.0435057133256537
"166"	"ACP5"	0.00379254236783544
"167"	"ACP6"	0.0977176410704632
"168"	"ACPL2"	0.0955892492823832
"169"	"ACPP"	0.916034777326178
"170"	"ACR"	0.38288146640592
"171"	"ACRBP"	0.802413049468844
"172"	"ACRC"	0.00136345424462359
"173"	"ACRV1"	0.0161998677391214
"174"	"ACSBG1"	0.666378073500195
"175"	"ACSBG2"	0.96839863668687
"176"	"ACSF2"	0.328213926723587
"177"	"ACSF3"	0.0439619104041734
"178"	"ACSL1"	0.0129242418509666
"179"	"ACSL3"	0.115421935917167
"180"	"ACSL4"	0.922464065079134
"181"	"ACSL5"	0.992418647480716
"182"	"ACSL6"	0.341880746650093
"183"	"ACSM1"	0.465844733933037
"184"	"ACSM2A"	0.147004750776234
"185"	"ACSM2B"	0.0788222071888449
"186"	"ACSM3"	0.211938361866601
"187"	"ACSM5"	0.0278816899546778
"188"	"ACSS1"	0.0553888940059137
"189"	"ACSS2"	0.589852638072855
"190"	"ACSS3"	0.00959308481600962
"191"	"ACTA1"	0.835894979402007
"192"	"ACTA2"	0.787189130748429
"193"	"ACTB"	0.0459812938248014
"194"	"ACTBL2"	0.151264427886502
"195"	"ACTC1"	0.387738725676921
"196"	"ACTG1"	0.488716771438369
"197"	"ACTG2"	0.720574618725728
"198"	"ACTL6A"	0.116160356384064
"199"	"ACTL8"	1.07593962628272e-08
"200"	"ACTN1"	0.804507581445317
"201"	"ACTN2"	1.19863109437901e-08
"202"	"ACTN3"	0.859998778169361
"203"	"ACTN4"	0.0131490455245529
"204"	"ACTR10"	0.000431193272858232
"205"	"ACTR1A"	0.622475720953124
"206"	"ACTR1B"	0.128339683607348
"207"	"ACTR2"	0.0551739379303341
"208"	"ACTR3"	0.0953994014467932
"209"	"ACTR3B"	0.800487163887144
"210"	"ACTR3C"	0.458643196064761
"211"	"ACTR5"	0.618249615412457
"212"	"ACTR6"	0.289231861974646
"213"	"ACTR8"	0.0111783474872764
"214"	"ACVR1"	0.0357376957687369
"215"	"ACVR1B"	0.872022270359783
"216"	"ACVR1C"	0.207984783110014
"217"	"ACVR2A"	5.7650219987937e-05
"218"	"ACVR2B"	0.00449698045769442
"219"	"ACVRL1"	0.0147719677328981
"220"	"ACY1"	0.188552844628971
"221"	"ACY3"	0.193135993591731
"222"	"ACYP1"	0.849443341397117
"223"	"ACYP2"	0.113252900580166
"224"	"ADA"	0.000255225866426678
"225"	"ADAD2"	0.654728595120907
"226"	"ADAL"	0.151735940753721
"227"	"ADAM10"	0.0626207495288494
"228"	"ADAM11"	4.88074244642256e-06
"229"	"ADAM12"	1.25625965274878e-06
"230"	"ADAM15"	0.321244573913861
"231"	"ADAM17"	0.431136557640143
"232"	"ADAM18"	0.382677471257153
"233"	"ADAM19"	0.0218680411921061
"234"	"ADAM20"	0.71178457928039
"235"	"ADAM21"	0.09525173033548
"236"	"ADAM21P1"	0.76532291707514
"237"	"ADAM22"	0.00838150391341808
"238"	"ADAM23"	0.934694898111859
"239"	"ADAM28"	0.960823987959838
"240"	"ADAM29"	0.790049097365944
"241"	"ADAM32"	0.000112734195680697
"242"	"ADAM33"	0.0157254417826521
"243"	"ADAM6"	0.0100333438371321
"244"	"ADAM7"	0.138373976419686
"245"	"ADAM8"	4.07217831177586e-06
"246"	"ADAM9"	0.69689051859807
"247"	"ADAMDEC1"	0.778648762762463
"248"	"ADAMTS10"	0.000666643263530386
"249"	"ADAMTS12"	0.482744535315475
"250"	"ADAMTS13"	0.00254177984535442
"251"	"ADAMTS14"	7.70999930566063e-11
"252"	"ADAMTS15"	0.549560756617848
"253"	"ADAMTS16"	0.0339440201259349
"254"	"ADAMTS17"	0.254126643058574
"255"	"ADAMTS18"	0.632978009601391
"256"	"ADAMTS19"	0.177176749410497
"257"	"ADAMTS1"	0.957023054010017
"258"	"ADAMTS20"	0.80710546919745
"259"	"ADAMTS2"	0.566669813048731
"260"	"ADAMTS3"	0.289989987802021
"261"	"ADAMTS4"	0.163436470493814
