"Gene"	"P-value"
"160"	"ACOX3"	0.141508282180533
"161"	"ACOXL"	0.497044608537558
"162"	"ACP1"	0.126457685456066
"163"	"ACP2"	0.330033151813284
"164"	"ACP5"	0.437525738956828
"165"	"ACP6"	0.423332029100162
"166"	"ACPL2"	0.127172488857556
"167"	"ACPP"	0.756868934466115
"168"	"ACR"	0.352772115070794
"169"	"ACRBP"	0.807883492222196
"170"	"ACRC"	0.701845536520948
"171"	"ACRV1"	0.0304701237488908
"172"	"ACSBG1"	0.401662293595534
"173"	"ACSBG2"	0.741533376361635
"174"	"ACSF2"	0.367387055811701
"175"	"ACSF3"	0.00147294777109175
"176"	"ACSL1"	0.592293053079549
"177"	"ACSL3"	0.0313838848150972
"178"	"ACSL4"	0.0399955478765852
"179"	"ACSL5"	0.55490349911364
"180"	"ACSL6"	0.131078240957144
"181"	"ACSM1"	0.13026583125712
"182"	"ACSM2A"	0.264298258122778
"183"	"ACSM2B"	0.730934982895356
"184"	"ACSM3"	0.73909253213964
"185"	"ACSM5"	0.776167400044648
"186"	"ACSS1"	0.563470089355094
"187"	"ACSS2"	0.517543138880869
"188"	"ACSS3"	0.00488198428467834
"189"	"ACTA1"	0.671909853814079
"190"	"ACTA2"	3.78115198667039e-05
"191"	"ACTB"	0.309338088562029
"192"	"ACTBL2"	0.0307669257615045
"193"	"ACTC1"	0.00125895181594782
"194"	"ACTG1"	0.132760215487423
"195"	"ACTG2"	2.66905028245557e-06
"196"	"ACTL6A"	0.0313173867157941
"197"	"ACTL8"	1.35878563189973e-06
"198"	"ACTN1"	0.0173211665320924
"199"	"ACTN2"	0.0566241680519168
"200"	"ACTN3"	0.614092696894567
"201"	"ACTN4"	0.80634729981742
"202"	"ACTR10"	0.320114941015099
"203"	"ACTR1A"	0.122833705282563
"204"	"ACTR1B"	0.762819496811113
"205"	"ACTR2"	0.0279854989939785
"206"	"ACTR3"	0.00642441467955113
"207"	"ACTR3B"	0.843414166196933
"208"	"ACTR3C"	0.0886427205792297
"209"	"ACTR5"	0.686794808214665
"210"	"ACTR6"	0.551272737295901
"211"	"ACTR8"	0.00534583780405118
"212"	"ACVR1"	0.0145498142553092
"213"	"ACVR1B"	0.549083953058039
"214"	"ACVR1C"	2.70672824975726e-06
"215"	"ACVR2A"	0.44374403135741
"216"	"ACVR2B"	0.0885463008946145
"217"	"ACVRL1"	0.160365116708739
"218"	"ACY1"	0.0216614480783056
"219"	"ACY3"	0.0323914684091798
"220"	"ACYP1"	0.197801449756713
"221"	"ACYP2"	0.952184617287757
"222"	"ADA"	5.73628273903282e-06
"223"	"ADAD2"	0.76902742151611
"224"	"ADAL"	0.334254757020106
"225"	"ADAM10"	0.783052813689239
"226"	"ADAM11"	5.34114005246167e-08
"227"	"ADAM12"	0.00387996617255781
"228"	"ADAM15"	0.000209600486484551
"229"	"ADAM17"	0.00100641169203941
"230"	"ADAM19"	1.83951425014595e-06
"231"	"ADAM20"	0.406420312845587
"232"	"ADAM21"	0.575663939053509
"233"	"ADAM21P1"	0.969662007065986
"234"	"ADAM22"	0.0310417900405444
"235"	"ADAM23"	0.000100651812828478
"236"	"ADAM28"	0.807563028029789
"237"	"ADAM29"	0.0175787778457985
"238"	"ADAM32"	0.381549398852588
"239"	"ADAM33"	1.27823369866498e-06
"240"	"ADAM6"	0.0115532948452987
"241"	"ADAM7"	0.00044955849602657
"242"	"ADAM8"	0.986525425656675
"243"	"ADAM9"	0.00731912711979588
"244"	"ADAMDEC1"	0.7041560337969
"245"	"ADAMTS10"	0.129347811605608
"246"	"ADAMTS12"	0.00778754868725018
"247"	"ADAMTS13"	0.496220187178867
"248"	"ADAMTS14"	0.835990794221848
"249"	"ADAMTS15"	0.505014469871443
"250"	"ADAMTS16"	0.804301970841528
"251"	"ADAMTS17"	0.387465736574787
"252"	"ADAMTS18"	0.0944228113540296
"253"	"ADAMTS1"	0.244998632685868
"254"	"ADAMTS2"	0.13185579056933
"255"	"ADAMTS3"	0.0530691691671588
"256"	"ADAMTS4"	0.000180472179480251
"257"	"ADAMTS5"	0.0907075553245014
"258"	"ADAMTS6"	0.00119314595775166
"259"	"ADAMTS7"	0.706519178481653
"260"	"ADAMTS8"	0.243466016814333
"261"	"ADAMTS9"	0.831641490473957
"262"	"ADAMTSL1"	6.38322958135262e-06
"263"	"ADAMTSL2"	0.369678654866199
"264"	"ADAMTSL3"	0.999465835370782
"265"	"ADAMTSL4"	0.262699020011992
"266"	"ADAMTSL5"	0.114025865698669
"267"	"ADAP1"	0.750100401391078
"268"	"ADAP2"	0.467013209816639
"269"	"ADAR"	0.00680213812445407
"270"	"ADARB1"	0.609901940365771
"271"	"ADARB2"	0.0538671158118436
"272"	"ADAT1"	0.0405699916259403
"273"	"ADAT2"	0.352032598652282
"274"	"ADAT3"	0.804658958691586
"275"	"ADC"	0.325561795090792
"276"	"ADCK1"	0.315889027006834
"277"	"ADCK2"	0.664764090813494
"278"	"ADCK4"	0.570073686997337
"279"	"ADCK5"	0.860840799600401
"280"	"ADCY10"	0.452180611824204
"281"	"ADCY1"	0.0494771615223789
"282"	"ADCY2"	0.0613797690722051
"283"	"ADCY3"	0.00026524878614842
"284"	"ADCY4"	0.049909772358256
"285"	"ADCY5"	0.0373371118587958
"286"	"ADCY6"	0.551733552464088
"287"	"ADCY7"	0.282000303808356
"288"	"ADCY8"	0.245961970925075
"289"	"ADCY9"	0.0282790177593643
"290"	"ADCYAP1"	0.570842667564873
"291"	"ADD1"	0.56279848614714
"292"	"ADD2"	0.117109448221453
"293"	"ADD3"	0.882657173131609
"294"	"ADH1A"	0.0581907404739506
"295"	"ADH1B"	0.0277053574137939
"296"	"ADH1C"	0.0259061857795191
"297"	"ADH4"	0.100064958040655
"298"	"ADH5"	0.36198128078273
"299"	"ADH6"	0.979683271634483
"300"	"ADHFE1"	0.111965752626494
"301"	"ADI1"	0.125957506244463
"302"	"ADIG"	0.366148312541105
"303"	"ADIPOR1"	0.049393547323297
"304"	"ADIPOR2"	0.837320695598571
"305"	"ADK"	0.126991510065171
"306"	"ADM"	0.0293097794011082
"307"	"ADM2"	0.1993404347167
"308"	"ADNP2"	0.598292559786891
"309"	"ADNP"	0.710968102508876
"310"	"ADO"	0.498231353360028
"311"	"ADORA1"	0.00120025124901457
"312"	"ADORA2A"	0.0096586245172755
"313"	"ADORA2B"	0.00353313443859271
"314"	"ADORA3"	0.438516443675239
"315"	"ADPGK"	0.0211016363739573
"316"	"ADPRH"	0.902231242208254
"317"	"ADPRHL1"	0.0191486268535394
"318"	"ADPRHL2"	0.568634162276177
"319"	"ADRA1A"	0.380019074509404
"320"	"ADRA1B"	0.00715932477707093
"321"	"ADRA1D"	5.94853367885673e-06
"322"	"ADRA2A"	0.0786377794951001
"323"	"ADRA2B"	0.40379876988187
"324"	"ADRA2C"	0.146467128980632
"325"	"ADRB1"	0.288330370414084
"326"	"ADRB2"	0.0279989456117687
