"Gene"	"P-value"
"155"	"ACOT7"	0.073532330106665
"156"	"ACOT8"	0.0906756319463315
"157"	"ACOT9"	0.219419043340771
"158"	"ACOX1"	2.34350490179169e-05
"159"	"ACOX2"	1.40460267873399e-05
"160"	"ACOX3"	0.253886149917125
"161"	"ACOXL"	0.0440721267512298
"162"	"ACP1"	0.141204439061732
"163"	"ACP2"	0.059124305420746
"164"	"ACP5"	2.78306007839291e-06
"165"	"ACP6"	0.380769609995041
"166"	"ACPL2"	0.0409460010896238
"167"	"ACPP"	0.0457735455806372
"168"	"ACR"	0.475780157730202
"169"	"ACRBP"	0.401234785023799
"170"	"ACRC"	0.0796915364275433
"171"	"ACRV1"	0.0530316075679047
"172"	"ACSBG1"	0.221558183947318
"173"	"ACSBG2"	0.0357357305376704
"174"	"ACSF2"	0.144635680358352
"175"	"ACSF3"	0.00474273570907424
"176"	"ACSL1"	0.2151438067161
"177"	"ACSL3"	0.0354955086808587
"178"	"ACSL4"	0.00961752154803508
"179"	"ACSL5"	0.0847765956706061
"180"	"ACSL6"	0.106698437301645
"181"	"ACSM1"	0.152210018914681
"182"	"ACSM2A"	0.337806678917194
"183"	"ACSM2B"	4.56103229851124e-07
"184"	"ACSM3"	0.552814155358951
"185"	"ACSM5"	0.135750178417159
"186"	"ACSS1"	0.306478686393697
"187"	"ACSS2"	0.0366832511352045
"188"	"ACSS3"	0.0621925424685441
"189"	"ACTA1"	0.369081339200891
"190"	"ACTA2"	4.13415767086533e-05
"191"	"ACTB"	1.16170079399458e-05
"192"	"ACTBL2"	0.00926473896237556
"193"	"ACTC1"	1.87134880469397e-06
"194"	"ACTG1"	0.207216542864638
"195"	"ACTG2"	1.56322854608648e-05
"196"	"ACTL6A"	0.0159548269372034
"197"	"ACTL8"	5.08330388893086e-09
"198"	"ACTN1"	2.63102177333607e-06
"199"	"ACTN2"	1.63768288939936e-05
"200"	"ACTN3"	0.412137087032492
"201"	"ACTN4"	0.234254920923183
"202"	"ACTR10"	4.53454990068103e-06
"203"	"ACTR1A"	0.00510599865526984
"204"	"ACTR1B"	0.14908467950855
"205"	"ACTR2"	3.26860159294284e-06
"206"	"ACTR3"	7.10033517870023e-07
"207"	"ACTR3B"	0.238586664912187
"208"	"ACTR3C"	2.4097633030129e-06
"209"	"ACTR5"	0.200731820863448
"210"	"ACTR6"	0.0193328511381972
"211"	"ACTR8"	0.0481251630100539
"212"	"ACVR1"	0.0110065771694366
"213"	"ACVR1B"	0.207016146756208
"214"	"ACVR1C"	1.22148779979625e-09
"215"	"ACVR2A"	0.327223140281025
"216"	"ACVR2B"	0.0880487250600058
"217"	"ACVRL1"	0.190896055279755
"218"	"ACY1"	0.111717993192909
"219"	"ACY3"	0.0910617063854052
"220"	"ACYP1"	0.0283632031596718
"221"	"ACYP2"	0.0521941461602388
"222"	"ADA"	3.30939464721069e-09
"223"	"ADAD2"	0.104112371814293
"224"	"ADAL"	0.250429800613386
"225"	"ADAM10"	0.2913374208304
"226"	"ADAM11"	4.07570900395893e-06
"227"	"ADAM12"	0.00505791520415833
"228"	"ADAM15"	0.000674732971384318
"229"	"ADAM17"	9.71033364827179e-08
"230"	"ADAM19"	9.08847108682664e-10
"231"	"ADAM20"	0.0738452292336346
"232"	"ADAM21"	0.309058616878744
"233"	"ADAM21P1"	0.390539306672484
"234"	"ADAM22"	8.84497102671133e-06
"235"	"ADAM23"	0.00102438008306271
"236"	"ADAM28"	0.0828174261903257
"237"	"ADAM29"	0.00733663549877717
"238"	"ADAM32"	0.140341154267958
"239"	"ADAM33"	8.70252934489502e-05
"240"	"ADAM6"	0.0344039039749466
"241"	"ADAM7"	2.60986021127785e-07
"242"	"ADAM8"	0.370144412148283
"243"	"ADAM9"	0.00466579519373
"244"	"ADAMDEC1"	6.88843836060826e-06
"245"	"ADAMTS10"	0.193106680020879
"246"	"ADAMTS12"	9.51530219395202e-07
"247"	"ADAMTS13"	0.325509753099974
"248"	"ADAMTS14"	0.0984230453617296
"249"	"ADAMTS15"	0.0500275163890235
"250"	"ADAMTS16"	2.28759159613956e-05
"251"	"ADAMTS17"	0.136942503105943
"252"	"ADAMTS18"	0.0334307476104047
"253"	"ADAMTS1"	0.0942898799861597
"254"	"ADAMTS2"	7.74609002407445e-06
"255"	"ADAMTS3"	0.0301539597998227
"256"	"ADAMTS4"	0.000201206925813491
"257"	"ADAMTS5"	0.0131799799421761
"258"	"ADAMTS6"	0.00432527413504935
"259"	"ADAMTS7"	2.8278690735295e-05
"260"	"ADAMTS8"	0.0686607078034009
"261"	"ADAMTS9"	0.369956565201302
"262"	"ADAMTSL1"	1.21087159188349e-08
"263"	"ADAMTSL2"	0.0600459085046151
"264"	"ADAMTSL3"	0.395356123539314
"265"	"ADAMTSL4"	0.239070225678921
"266"	"ADAMTSL5"	0.13520225048375
"267"	"ADAP1"	0.173680458976052
"268"	"ADAP2"	0.0230464084753396
"269"	"ADAR"	9.31243880231136e-07
"270"	"ADARB1"	0.450064376416875
"271"	"ADARB2"	0.0647382422788463
"272"	"ADAT1"	0.101657840508327
"273"	"ADAT2"	0.251300799397778
"274"	"ADAT3"	0.0371431736578299
"275"	"ADC"	0.362319854394917
"276"	"ADCK1"	8.60547010794743e-06
"277"	"ADCK2"	0.168779865526976
"278"	"ADCK4"	0.0768566806636303
"279"	"ADCK5"	0.348595295418871
"280"	"ADCY10"	0.180750349957935
"281"	"ADCY1"	0.00131487942043518
"282"	"ADCY2"	0.0553627155183606
"283"	"ADCY3"	2.92775323984529e-08
"284"	"ADCY4"	0.0023252360242112
"285"	"ADCY5"	0.0760242890162758
"286"	"ADCY6"	0.0829567295260408
"287"	"ADCY7"	0.0248834336792407
"288"	"ADCY8"	0.117174947220582
"289"	"ADCY9"	0.082617165584279
"290"	"ADCYAP1"	0.200919524087396
"291"	"ADD1"	0.270922961453787
"292"	"ADD2"	1.47805902126485e-05
"293"	"ADD3"	0.183730670982809
"294"	"ADH1A"	0.0713881298523976
"295"	"ADH1B"	0.0277255546382087
"296"	"ADH1C"	0.00148315773855712
"297"	"ADH4"	0.00905673934552975
"298"	"ADH5"	0.33625366466425
"299"	"ADH6"	2.06881615061327e-05
"300"	"ADHFE1"	0.261602615121473
"301"	"ADI1"	0.0273906422626016
"302"	"ADIG"	0.219295638526225
"303"	"ADIPOR1"	0.0376484375404166
"304"	"ADIPOR2"	0.159743589461513
"305"	"ADK"	0.00216044718353214
"306"	"ADM"	0.0716904863267556
"307"	"ADM2"	4.65843560959467e-06
"308"	"ADNP2"	0.365099829955655
"309"	"ADNP"	0.219059272891219
"310"	"ADO"	0.235754435391889
"311"	"ADORA1"	7.20101000162288e-07
"312"	"ADORA2A"	0.000892444944806114
"313"	"ADORA2B"	5.24357438580481e-08
"314"	"ADORA3"	0.216060038876246
"315"	"ADPGK"	0.00169982014015102
"316"	"ADPRH"	0.0713517517745357
"317"	"ADPRHL1"	7.41356595668208e-07
"318"	"ADPRHL2"	1.96470196678344e-05
"319"	"ADRA1A"	0.098638285518165
"320"	"ADRA1B"	3.07414173728038e-06
"321"	"ADRA1D"	2.8807051034363e-05
"322"	"ADRA2A"	0.00776985988903656
"323"	"ADRA2B"	0.414263132063473
"324"	"ADRA2C"	2.09708989220569e-05
"325"	"ADRB1"	0.166523957336832
"326"	"ADRB2"	0.0101095983627347
"327"	"ADRB3"	0.0693666660449712
"328"	"ADRBK1"	0.0456543880609009
"329"	"ADRBK2"	0.0554846031373781
"330"	"ADRM1"	0.10436767375597
"331"	"ADSL"	0.141220601040879
"332"	"ADSS"	0.00836648074976098
"333"	"ADSSL1"	0.475703199760691
"334"	"AEBP1"	0.0385353336419597
"335"	"AEBP2"	2.77226220701809e-06
"336"	"AEN"	1.75012995453638e-05
"337"	"AES"	0.0103657686391457
"338"	"AFAP1"	0.0296796259110066
"339"	"AFAP1L1"	0.381963448594114
"340"	"AFAP1L2"	0.0103468745139162
"341"	"AFARP1"	0.40660490689433
"342"	"AFF1"	0.043844890650199
"343"	"AFF2"	0.132350856462494
"344"	"AFF3"	0.00692099072693497
"345"	"AFF4"	1.60536023120494e-05
"346"	"AFG3L1"	0.0816935542561006
"347"	"AFG3L2"	0.241274571299918
"348"	"AFM"	2.49645189829284e-05
"349"	"AFMID"	2.66756596843942e-05
"350"	"AFP"	3.19205242638176e-06
"351"	"AFTPH"	0.0282952564995944
"352"	"AG2"	0.191215183544486
"353"	"AGA"	0.0675912583065088
"354"	"AGAP11"	0.346516656147215
"355"	"AGAP1"	2.17805466047327e-05
"356"	"AGAP2"	0.0562765705087822
"357"	"AGAP3"	0.0160032045698307
"358"	"AGAP4"	0.0744436137107678
"359"	"AGAP5"	0.0520253137786971
"360"	"AGAP6"	0.0398120885115073
"361"	"AGAP7"	0.0757520863143292
"362"	"AGAP8"	0.270576390122502
"363"	"AGBL2"	0.217428065318281
"364"	"AGBL3"	0.105551748437918
"365"	"AGBL4"	0.409617010457238
"366"	"AGBL5"	0.484743712968971
"367"	"AGER"	0.0147112412801358
"368"	"AGFG1"	1.34479114566322e-06
"369"	"AGFG2"	0.211901982429433
"370"	"AGGF1"	1.11182383152331e-05
"371"	"AGK"	0.228503463796686
"372"	"AGL"	0.216539075833976
"373"	"AGMAT"	0.21862561062087
"374"	"AGPAT1"	1.15967606433287e-05
"375"	"AGPAT2"	0.0432539361379063
"376"	"AGPAT3"	2.17695363167181e-05
"377"	"AGPAT4"	0.338980812348869
"378"	"AGPAT5"	0.0186061568782884
"379"	"AGPAT6"	0.151123985851245
"380"	"AGPAT9"	0.428021562585195
"381"	"AGPHD1"	0.0508692776738647
"382"	"AGPS"	0.203755533100374
"383"	"AGR2"	0.152363292628455
"384"	"AGR3"	0.183094872606754
"385"	"AGRN"	0.12632281641018
"386"	"AGRP"	0.28756944272665
"387"	"AGT"	2.60208063870282e-05
"388"	"AGTPBP1"	0.519782034118694
"389"	"AGTR1"	0.151678995588876
"390"	"AGTRAP"	0.3079938286143
"391"	"AGXT"	0.254604894298223
"392"	"AGXT2"	5.23824128273453e-06
"393"	"AGXT2L1"	0.0501043950667381
"394"	"AGXT2L2"	0.351587023750598
"395"	"AHCTF1"	3.79219849855339e-07
"396"	"AHCY"	1.54351224128657e-05
"397"	"AHCYL1"	2.01314075849446e-05
"398"	"AHCYL2"	0.134990830942493
"399"	"AHDC1"	0.136442374581083
"400"	"AHI1"	0.0446396170496645
"401"	"AHNAK2"	1.58708408551922e-05
"402"	"AHNAK"	0.219881013435965
"403"	"AHR"	0.125166859658152
"404"	"AHRR"	0.0113426368520091
"405"	"AHSA1"	3.91485270834213e-06
"406"	"AHSA2"	0.0850774710784221
"407"	"AHSG"	0.00907264883375791
"408"	"AHSP"	0.110153263352935
"409"	"AICDA"	2.48779319189651e-06
"410"	"AIDA"	0.00197223511453337
"411"	"AIF1"	0.0766047781395738
"412"	"AIF1L"	0.103776770659843
"413"	"AIFM1"	1.29008407809827e-05
"414"	"AIFM2"	0.0502058456413326
"415"	"AIFM3"	0.0732464366194231
"416"	"AIG1"	0.445264169627673
"417"	"AIM1"	0.243356504958988
"418"	"AIM1L"	0.0574239372202501
"419"	"AIM2"	0.000369613161410487
"420"	"AIMP1"	0.422684041724437
"421"	"AIMP2"	0.188530708620162
"422"	"AIP"	0.204456397999299
"423"	"AIRE"	0.494088401040637
"424"	"AJAP1"	0.313246494249774
"425"	"AK1"	0.16329542158136
"426"	"AK2"	0.109468714152299
"427"	"AK3"	0.169330167150659
"428"	"AK3L1"	1.43879133424063e-05
"429"	"AK5"	2.64315141011995e-05
"430"	"AK7"	0.36310570318732
"431"	"AKAP10"	0.238938494474095
"432"	"AKAP11"	0.351606742287388
"433"	"AKAP12"	0.180940439548996
"434"	"AKAP13"	0.390372771117146
"435"	"AKAP1"	0.215124148405847
"436"	"AKAP2"	6.09026983855454e-06
"437"	"AKAP3"	0.193814622719811
"438"	"AKAP5"	0.104247614126173
"439"	"AKAP6"	0.134085444764878
"440"	"AKAP7"	0.0143874354459881
"441"	"AKAP8"	0.368362336985293
"442"	"AKAP8L"	0.282711923403049
"443"	"AKAP9"	0.290410088986145
"444"	"AKD1"	0.124258379263394
"445"	"AKIRIN1"	1.56648260519754e-05
"446"	"AKIRIN2"	3.58286732615731e-06
"447"	"AKNA"	0.00699165580905803
"448"	"AKNAD1"	0.0213206302445264
"449"	"AKR1A1"	1.90635046558585e-05
"450"	"AKR1B10"	5.89106242121495e-07
"451"	"AKR1B1"	0.00790100313497921
"452"	"AKR1B15"	2.82927775430153e-07
"453"	"AKR1C1"	0.0366371720837283
"454"	"AKR1C2"	0.00533082909437554
"455"	"AKR1C3"	0.0187385314664976
"456"	"AKR1C4"	2.55251759541109e-05
"457"	"AKR1CL1"	5.35735174500562e-06
"458"	"AKR1D1"	0.232323882542658
"459"	"AKR1E2"	0.0635117418702703
"460"	"AKR7A2"	0.18425887227386
"461"	"AKR7A3"	0.380660146120579
"462"	"AKR7L"	0.253895955842524
"463"	"AKT1"	0.0581442313008245
